country,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
CHN,0.008704196,0.007515332,0.007195444,0.006557027,0.004528164,0.006994364,0.005196695,0.005197366,0.005165702,0.005128726,0.004926068,0.005066455,0.005034954,0.005000511,0.004961989,0.004918691,0.003286565,0.00337067,0.003589107,0.003861589,0.003291319,0.003477079,0.003530154,0.00355101,0.003495255,0.003430945,0.003488294,0.003486822,0.003645002,0.00472337,0.00463458,0.004556084,0.004486467,0.004628972,0.004667838,0.004655228,0.00469178,0.004239646,0.003942308,0.003887483,0.003831149,0.003708226,0.003196905,0.003369044,0.003423428,0.003029503,0.002734954,0.002669893,0.002533091,0.002424939,0.002401198,0.002150829
FRN,0.014559194,0.014349553,0.014271654,0.014058084,0.014202899,0.014256278,0.014742248,0.015462701,0.016388446,0.017302645,0.018467348,0.019524211,0.020604365,0.021456161,0.021927498,0.022436739,0.015596907,0.015000638,0.015371424,0.014282757,0.011998031,0.01179725,0.012008557,0.011419642,0.01132863,0.011227545,0.011024605,0.010831093,0.011145,0.011144555,0.01110078,0.01105672,0.010988804,0.010885042,0.010782375,0.010671863,0.01061238,0.010609398,0.010561321,0.010376913,0.010183778,0.010045547,0.010013614,0.009943334,0.009889584,0.009764696,0.009709929,0.009446788,0.008776494,0.008739206,0.00866888,0.008582441
RUS,0.070501974,0.014367816,0.015552995,0.016292135,0.020571429,0.023878939,0.027294066,0.03111972,0.030608475,0.030097193,0.029567851,0.02554368,0.022149048,0.018861081,0.0171023,0.016796607,0.013752321,0.013529969,0.013818353,0.013631443,0.012037967,0.01627179,0.016525844,0.017204048,0.017459697,0.017712457,0.015911224,0.016161551,0.016012682,0.016261388,0.016111982,0.016357688,0.015056229,0.014928058,0.014806153,0.014690151,0.014572793,0.014449743,0.014318863,0.014188319,0.014062466,0.013927776,0.013789202,0.013664122,0.012863749,0.01208485,0.02023677,0.012811004,0.010125147,0.009461505,0.009473926,0.008799301
UKG,0.103493148,0.041713229,0.026292407,0.016931196,0.01530085,0.013612297,0.016336379,0.017191412,0.017006803,0.016436156,0.01580109,0.014803719,0.013596219,0.011843679,0.010838705,0.009909876,0.00899502,0.008913158,0.008391608,0.008056898,0.007819687,0.007777757,0.007733037,0.007425653,0.007031968,0.007010354,0.006615649,0.006595718,0.006705441,0.006383811,0.006189307,0.005994735,0.005801744,0.00569618,0.005761024,0.005858335,0.006051249,0.005948365,0.005906664,0.005946271,0.005892211,0.005822135,0.005753478,0.005668498,0.005544126,0.005350845,0.005207522,0.005051202,0.004657078,0.004401062,0.003975702,0.003758439
USA,0.086637414,0.021430239,0.010983445,0.009822836,0.010783417,0.009588168,0.020977802,0.023077948,0.022193228,0.020254438,0.017688075,0.016613086,0.016257326,0.013786439,0.013091154,0.012763532,0.012559135,0.015047872,0.014267446,0.014002887,0.013689958,0.015720391,0.017009541,0.017687563,0.017071498,0.014971812,0.013098271,0.011067386,0.010410129,0.010034884,0.009714177,0.009516821,0.009353475,0.009254891,0.009033347,0.009002046,0.009136133,0.009337261,0.009393659,0.009401391,0.009410147,0.009428592,0.00939029,0.009182886,0.009056286,0.008723245,0.008352532,0.007517884,0.007011916,0.00656173,0.006165439,0.005918186
