country,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
CHN,228612,789300,257474,214176,2030000,2558000,3094000,2709000,2538205,2538205,2575000,5539170,6219080,5894070,6612470,6727610,7953200,9329700,10690350,12851090,13787580,15931440,16389240,17856960,20299920,23775520,21600000,22500000,24500000,26800000,28500000,31700000,32700000,35000000,30000000,28500000,30500000,33000000,34500000,23850000,6350000,5830000,5640000,5860000,6670000,6060000,18790000,24300000,27400000,28945000,32929000,36176000
FRN,1230509,1257334,1844090,910344,1246614,1489278,2199999,3018000,3490000,3428000,2948000,3653000,3692000,3620000,3646000,3897000,4128544,4517387,4670207,4964419,5167691,5446060,5881679,5896937,5761015,5933017,6296947,7531669,9493489,9954053,13034714,13369110,15015875,18874092,22667529,26424988,23867415,22523616,21654890,20212036,16716000,24230000,29580000,30700000,28580000,34790000,37340000,34870000,37200000,45184000,47768000,47401000
RUS,8589076,8764724,11583011,13157894,13964622,15510433,20126000,21900448,25527632,28064976,29542096,26749408,27624304,30241936,34498608,36960032,43662960,49976192,47000000,47000000,46000000,48000000,52000000,62622000,68053000,77200000,82700000,88900000,96410000,109000000,128000000,138000000,149000000,163000000,180000000,201000000,221000000,237000000,250000000,264000000,275000000,287600000,303000000,317900000,119440000,128790000,133700000,47220000,29120000,96693000,82000000,73990000
UKG,17002048,17753616,6656196,3438984,3137333,2376154,3215782,4340931,4582745,4409778,4363684,4527611,4383177,4469098,4452225,4633255,4791138,5092642,5239560,5592841,5832633,6032499,6348674,5611164,5489866,5866538,6853483,8151113,8612065,9730994,11475228,11076590,11886891,14618042,19175649,26757385,25691234,24169041,24873196,23294855,24200000,27344000,31774000,31910000,31270000,38520000,40430000,42330000,34020000,35409000,33406000,35266000
USA,90000000,45133984,14315999,10960998,13503000,14559000,33398000,47852000,49621008,42786000,40518000,41773008,44548000,45503008,46614000,45380000,47808000,52381008,52295008,51213008,51827008,67572000,75448000,80732000,81446000,77827008,74862000,77639000,78385000,85906000,90948000,91013000,100925000,109247000,122279000,143981000,169888000,196345000,217198000,237052000,245154000,265480000,273966000,281935000,294880000,289755000,262389000,286892000,297600000,293214000,277834000,277254000
