Row Labels,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
CHN,0.093496,0.1327105,0.1192198,0.1150552,0.1040504,0.1184953,0.1036244,0.096398,0.0951003,0.0943573,0.0913439,0.0981378,0.0995304,0.1084182,0.1169668,0.1192724,0.1049435,0.103609,0.1071027,0.1100296,0.1088898,0.1096543,0.1055841,0.1059294,0.1081834,0.1126595,0.1131756,0.1129567,0.1134221,0.1169184,0.1186844,0.1176553,0.1182982,0.1209893,0.1198492,0.1194986,0.1198696,0.1188427,0.1190423,0.1160934,0.1135258,0.1139638,0.1115829,0.1128983,0.1144659,0.1118991,0.1186119,0.1238766,0.1317843,0.1370905,0.1429278,0.1464795
FRN,0.0179454,0.0313083,0.0349788,0.0325886,0.0354923,0.0332216,0.0329915,0.033362,0.0317597,0.0329684,0.0306306,0.0325624,0.0327303,0.0337533,0.0325902,0.0328493,0.0303877,0.0294007,0.0292256,0.0288329,0.0277353,0.0262937,0.0260741,0.0249547,0.0246465,0.0243953,0.0241505,0.0242787,0.0247987,0.0242571,0.0234706,0.0237206,0.0233325,0.0237038,0.024211,0.0240401,0.0219461,0.0202293,0.0192259,0.0185533,0.0177723,0.018497,0.0187438,0.0187148,0.0191178,0.0201749,0.0215695,0.0216589,0.021995,0.0229005,0.0231284,0.0228894
RUS,0.1182072,0.1225411,0.1452174,0.1639996,0.1679179,0.1805985,0.1731629,0.1701986,0.1731209,0.1845277,0.1791656,0.1701965,0.1672666,0.1709534,0.1712012,0.17179,0.173759,0.1763372,0.17128,0.1674936,0.164547,0.1663164,0.1667414,0.1710036,0.1703317,0.1714348,0.172277,0.1708357,0.1674098,0.1678685,0.1745982,0.1760274,0.1735535,0.1708518,0.1673254,0.1686928,0.1694936,0.1714917,0.1721749,0.1698022,0.1756503,0.1745372,0.173181,0.1706572,0.1368206,0.1295946,0.1033478,0.0672895,0.0580243,0.0670384,0.0629018,0.0591888
UKG,0.0879904,0.1161727,0.0912182,0.075426,0.0707876,0.0613487,0.0585345,0.0575083,0.0560323,0.0565141,0.0505929,0.0492237,0.0473189,0.0452031,0.0420319,0.0423343,0.0400909,0.0376892,0.0371322,0.0368837,0.0370771,0.0353643,0.0327035,0.0322467,0.0309197,0.0301003,0.0290272,0.0284563,0.0276301,0.0285521,0.0280552,0.02741,0.026294,0.0260243,0.0267261,0.0252671,0.0251794,0.0237279,0.0236157,0.0221453,0.0228801,0.0233587,0.0246664,0.0243295,0.0253604,0.0251629,0.0263126,0.0273722,0.0255293,0.0249182,0.0236313,0.0240494
USA,0.3838635,0.3639884,0.3099419,0.2946597,0.2731664,0.284443,0.3194995,0.3113674,0.3111584,0.2809401,0.2664225,0.2606138,0.2550486,0.23447,0.2289647,0.2154438,0.2106549,0.2099114,0.2079665,0.2029826,0.2015391,0.2086695,0.2085481,0.2034119,0.1979508,0.1809692,0.1699562,0.1647432,0.1588194,0.1526986,0.1439478,0.1424627,0.1418244,0.1396744,0.1372161,0.1331146,0.1380075,0.1295889,0.1329419,0.135594,0.1373146,0.1352873,0.1340296,0.1344698,0.148239,0.1413318,0.1372464,0.1483136,0.1535161,0.1456364,0.1403365,0.138368
