date,height,yield
1980.5,320.04,6
1951.083333,320,1
1952.416667,320,19
1962.833333,319.43,5
1987.5,319.13,8
1975.166667,318.35,
1974.75,313.96,5
1974.416667,313.94,2.5
1975.5,310.64,750
1967.5,310.24,10
1970.5,309.37,3.5
1968.916667,307.94,16
1966.416667,304.97,12
1975,304.72,4
1978.5,304.22,0.6
1969.25,304.13,10
1970.083333,304.11,20
1971.5,303.06,18
1963.166667,302.97,6
1962.083333,302.33,5.1
1963.666667,302.27,8
1971,302.19,
1972,302.03,11
1972.166667,301.78,2
1967.5,301.75,3.1
1968.833333,301.44,3
1970.25,301.39,6
1967.833333,301.34,9
1963.25,301.16,
1963.916667,300.84,20
1964.166667,300.76,5
1967.166667,299.11,4
1965.166667,296.14,10.1
1966.333333,295.66,5
1972.75,295.66,15
1965.416667,294.28,0.75
1971,292.91,20
1988.916667,289.86,
1970.25,289.56,8.7
1962.166667,287.43,5.7
1973.916667,285.29,5
1958.833333,283.58,5
1965.416667,281.07,15
1972.25,279.04,8
1974,278.17,5
1971,277.98,10
1966.083333,275.01,4
1977.666667,274.93,1.5
1970.333333,274.32,20
1963.416667,271.73,8
1967.25,271.27,2.5
1973,271.09,0.2
1967.333333,271.06,1
1970.916667,270.92,2
1971.666667,270.74,
1966.166667,270.05,3.5
1971.583333,266.15,
1970.416667,265.18,9
1973.416667,265.18,2
1975.833333,264.92,1000
1964.083333,264.69,10.5
1968.25,264.57,10
1969.75,264.26,5
1971.916667,264.26,4
1969.833333,263.65,11
1964.5,262.74,3
1974.75,262.74,0.2
1974.916667,262.74,
1962.5,261.98,13
1964.333333,261.92,15
1963.833333,261.31,8
1962.333333,261.03,10.6
1964.75,260.97,12
1962.083333,260.95,6.4
1963.166667,260.87,9
1963.916667,260.25,9
1966,259.87,3
1972.416667,259.08,0.5
1964.5,258.56,11.7
1962.416667,258.32,8
1967.166667,257.25,11
1962.25,256.34,8.4
1958.833333,256.03,0.055
1961.833333,255.42,
1966.75,255.12,7.8
1958.833333,254.51,22
1963.666667,254.51,
1972.916667,250.24,0.6
1970.25,249.94,3.5
1970.833333,249.33,1
1979,247.59,0.6
1966.416667,247.19,10
1968.083333,246.89,7.4
1969.083333,246.89,10
1973.333333,245.81,0.5
1963,245.36,
1988.333333,245.06,2
1976.166667,244.85,2.5
1989.916667,244.45,
1967,243.84,7
1973.333333,243.84,
1984,243.84,1.5
1963.5,242.41,3.1
1969.083333,242.32,
1968.666667,242.01,9
1963.333333,241.55,7
1962.916667,241.44,
1963.416667,241.42,
1962.75,241.38,11
1964.416667,241.34,6
1965.916667,241.19,7
1971,241.12,0.1
1967.666667,240.76,1.5
1968.333333,240.75,
1969.083333,240.75,2
1969.166667,240.73,
