Row Labels,1945-1954,1955-1964,1965-1974,1975-1984,1985-1994,1995-2004,2005-2014
CHN,16956972,74391740,203440660,308250000,135845000,500551000,511063000
FRN,20114168,39736557,67362557,197644265,319190000,417727000,445531000
RUS,167188816,373255536,730885000,1931000000,1738463000,627081000,306640000
UKG,66913567,47545231,68529029,193018111,337207000,380810000,479079000
USA,362129989,468033040,751644016,1478876000,2791265000,3238145000,4883844000
