Row Labels,1945-1954,1955-1964,1965-1974,1975-1984,1985-1994,1995-2004,2005-2014
CHN,600149,712142,910367,1054667,1208278,1310414,1377065
FRN,43057,48310,52492,55026,57900,61003,63937
RUS,192709,228149,252131,274874,287630,147774,143933
UKG,51046,53991,56236,56506,58395,59984,62783
USA,163026,191889,213854,236348,260602,295487,317505
